rank,gid,role,priority_score,why
1,100000008165763100,coordinator,0.930571,"Кандидат в координаторы: 15→17 связей, охват 9 seed, betweenness 0.0003; межкластерных связей 12."
2,100000008489922100,coordinator,0.922379,"Кандидат в координаторы: 3→36 связей, охват 8 seed, betweenness 0.0009; межкластерных связей 11."
3,100000003115284100,consolidator,0.920556,"Признаки консолидации: 8 плательщиков, IN 2.16m KZT, охват 11 seed; набл. OUT/IN 0.24."
4,100000008547948100,coordinator,0.912206,"Кандидат в координаторы: 6→26 связей, охват 8 seed, betweenness 0.0011; межкластерных связей 13."
5,100000008547844100,coordinator,0.898511,"Кандидат в координаторы: 3→19 связей, охват 8 seed, betweenness 0.0018; межкластерных связей 9."
6,100000008710791100,distributor,0.894872,"Признаки распределения: 23 получателей, OUT 5.52m KZT, охват 9 seed; fan-out высокий."
7,100000008466579100,coordinator,0.883602,"Кандидат в координаторы: 2→17 связей, охват 8 seed, betweenness 0.0005; межкластерных связей 7."
8,100000008743913100,distributor,0.882988,"Признаки распределения: 13 получателей, OUT 1.85m KZT, охват 9 seed; fan-out высокий."
9,100000007908818100,consolidator,0.878828,"Признаки консолидации: 4 плательщиков, IN 727k KZT, охват 11 seed; набл. OUT/IN 0.42."
10,100000008603629100,coordinator,0.877156,"Кандидат в координаторы: 19→61 связей, охват 7 seed, betweenness 0.0058; межкластерных связей 32."
11,100000000331309100,coordinator,0.874752,"Кандидат в координаторы: 5→99 связей, охват 7 seed, betweenness 0.0046; межкластерных связей 29."
12,100000005933757100,coordinator,0.870099,"Кандидат в координаторы: 4→34 связей, охват 7 seed, betweenness 0.0039; межкластерных связей 11."
13,100000008477350100,coordinator,0.868863,"Кандидат в координаторы: 11→39 связей, охват 7 seed, betweenness 0.0025; межкластерных связей 13."
14,100000008512827100,distributor,0.868001,"Признаки распределения: 10 получателей, OUT 1.94m KZT, охват 9 seed; fan-out высокий."
15,100000005074393100,coordinator,0.866769,"Кандидат в координаторы: 4→6 связей, охват 10 seed, betweenness 0.0002; межкластерных связей 1."
16,100000000437046100,coordinator,0.864257,"Кандидат в координаторы: 9→42 связей, охват 7 seed, betweenness 0.0022; межкластерных связей 11."
17,100000005473151100,consolidator,0.862589,"Признаки консолидации: 3 плательщиков, IN 1.22m KZT, охват 9 seed; набл. OUT/IN 0.18."
18,100000004156082100,coordinator,0.8591,"Кандидат в координаторы: 5→26 связей, охват 7 seed, betweenness 0.0020; межкластерных связей 8."
19,100000008346837100,coordinator,0.858939,"Кандидат в координаторы: 9→25 связей, охват 7 seed, betweenness 0.0090; межкластерных связей 15."
20,100000008710843100,distributor,0.858697,"Признаки распределения: 13 получателей, OUT 1.99m KZT, охват 8 seed; fan-out высокий."
21,100000002957787100,coordinator,0.858692,"Кандидат в координаторы: 4→34 связей, охват 7 seed, betweenness 0.0043; межкластерных связей 11."
22,100000008730846100,coordinator,0.855765,"Кандидат в координаторы: 7→3 связей, охват 8 seed, betweenness 0.0001; межкластерных связей 7."
23,100000005527892100,distributor,0.852862,"Признаки распределения: 8 получателей, OUT 552k KZT, охват 8 seed; fan-out высокий."
24,100000008517538100,distributor,0.851526,"Признаки распределения: 17 получателей, OUT 1.44m KZT, охват 8 seed; fan-out высокий."
25,100000001857829100,coordinator,0.850549,"Кандидат в координаторы: 6→16 связей, охват 7 seed, betweenness 0.0020; межкластерных связей 7."
26,100000005704413100,coordinator,0.848005,"Кандидат в координаторы: 3→32 связей, охват 7 seed, betweenness 0.0026; межкластерных связей 5."
27,100000004015047100,consolidator,0.846421,"Признаки консолидации: 9 плательщиков, IN 919k KZT, охват 11 seed; набл. OUT/IN 0.08."
28,100000004400305100,coordinator,0.845864,"Кандидат в координаторы: 7→82 связей, охват 7 seed, betweenness 0.0026; межкластерных связей 22."
29,100000003796063100,coordinator,0.843454,"Кандидат в координаторы: 1→15 связей, охват 7 seed, betweenness 0.0012; межкластерных связей 10."
30,100000008465789100,distributor,0.835127,"Признаки распределения: 16 получателей, OUT 1.86m KZT, охват 8 seed; fan-out высокий."
31,100000005910114100,coordinator,0.834414,"Кандидат в координаторы: 3→19 связей, охват 7 seed, betweenness 0.0058; межкластерных связей 8."
32,100000003242289100,coordinator,0.831512,"Кандидат в координаторы: 3→23 связей, охват 7 seed, betweenness 0.0010; межкластерных связей 8."
33,100000008223661100,coordinator,0.829824,"Кандидат в координаторы: 2→5 связей, охват 8 seed, betweenness 0.0003; межкластерных связей 4."
34,100000004403675100,coordinator,0.828871,"Кандидат в координаторы: 4→5 связей, охват 7 seed, betweenness 0.0028; межкластерных связей 4."
35,100000008752616100,distributor,0.828534,"Признаки распределения: 7 получателей, OUT 1.26m KZT, охват 9 seed; fan-out высокий."
36,100000008172352100,distributor,0.827021,"Признаки распределения: 7 получателей, OUT 290k KZT, охват 8 seed; fan-out высокий."
37,100000008686313100,coordinator,0.825961,"Кандидат в координаторы: 6→7 связей, охват 7 seed, betweenness 0.0020; межкластерных связей 4."
38,100000005782781100,coordinator,0.821536,"Кандидат в координаторы: 6→10 связей, охват 7 seed, betweenness 0.0006; межкластерных связей 8."
39,100000003635170100,coordinator,0.820107,"Кандидат в координаторы: 3→4 связей, охват 8 seed, betweenness 0.0002; межкластерных связей 1."
40,100000004159526100,consolidator,0.819508,"Признаки консолидации: 4 плательщиков, IN 275k KZT, охват 8 seed; набл. OUT/IN 0.25."
41,100000007442518100,coordinator,0.819451,"Кандидат в координаторы: 5→9 связей, охват 7 seed, betweenness 0.0003; межкластерных связей 5."
42,100000001937767100,distributor,0.816302,"Признаки распределения: 4 получателей, OUT 1.93m KZT, охват 11 seed; fan-out высокий."
43,100000008413748100,coordinator,0.815891,"Кандидат в координаторы: 2→18 связей, охват 7 seed, betweenness 0.0006; межкластерных связей 9."
44,100000008304139100,distributor,0.814161,"Признаки распределения: 24 получателей, OUT 1.69m KZT, охват 7 seed; fan-out высокий."
45,100000004997515100,consolidator,0.813403,"Признаки консолидации: 4 плательщиков, IN 395k KZT, охват 9 seed; набл. OUT/IN 0.14."
46,100000006889963100,consolidator,0.813371,"Признаки консолидации: 4 плательщиков, IN 1.43m KZT, охват 11 seed; набл. OUT/IN 0.31."
47,100000004351795100,coordinator,0.810096,"Кандидат в координаторы: 3→14 связей, охват 7 seed, betweenness 0.0024; межкластерных связей 6."
48,100000005578559100,coordinator,0.809785,"Кандидат в координаторы: 2→21 связей, охват 7 seed, betweenness 0.0010; межкластерных связей 4."
49,100000004070318100,coordinator,0.808791,"Кандидат в координаторы: 4→19 связей, охват 7 seed, betweenness 0.0021; межкластерных связей 11."
