gid,role,role_score,cluster_id,priority_score,evidence
100000000343175100,distributor,0.875161,10,0.509717,"Признаки распределения: 31 получателей, OUT 4.00m KZT, охват 8 seed; fan-out высокий."
100000000456947100,peripheral,0.877891,73,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000000580561100,distributor,0.551789,44,0.244835,"Признаки распределения: 3 получателей, OUT 1.49m KZT, охват 1 seed; fan-out высокий."
100000001415126100,peripheral,0.247331,21,0.202819,Периферия: 1 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000001429930100,peripheral,0.247331,14,0.197615,Периферия: 1 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000001616816100,consolidator,0.755851,7,0.472579,"Признаки консолидации: 5 плательщиков, IN 176k KZT, охват 11 seed; набл. OUT/IN 1.03."
100000001732159100,consolidator,0.777593,11,0.409796,"Признаки консолидации: 2 плательщиков, IN 2.38m KZT, охват 10 seed; набл. OUT/IN 0.63."
100000002527114100,distributor,0.777381,2,0.358036,"Признаки распределения: 111 получателей, OUT 3.29m KZT, охват 1 seed; fan-out высокий."
100000002916006100,peripheral,0.792507,21,0.099286,Периферия: 0 входящих и 1 исходящих связей; структурная значимость ниже порогов других ролей.
100000003016635100,coordinator,0.900477,6,0.4825,"Кандидат в координаторы: 8→73 связей, охват 7 seed, betweenness 0.0072; межкластерных связей 16."
100000003200071100,peripheral,0.792507,69,0.097983,Периферия: 0 входящих и 1 исходящих связей; структурная значимость ниже порогов других ролей.
100000003265658100,peripheral,0.877891,74,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000003349739100,peripheral,0.877891,75,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000003684369100,coordinator,0.979698,3,0.539185,"Кандидат в координаторы: 24→62 связей, охват 10 seed, betweenness 0.0023; межкластерных связей 27."
100000003770083100,peripheral,0.877891,76,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000003975102100,peripheral,0.147331,6,0.298261,Периферия: 1 входящих и 2 исходящих связей; структурная значимость ниже порогов других ролей.
100000003977183100,distributor,0.597609,7,0.251741,"Признаки распределения: 4 получателей, OUT 766k KZT, охват 2 seed; fan-out высокий."
100000004007116100,consolidator,0.692046,25,0.240951,"Признаки консолидации: 3 плательщиков, IN 765k KZT, охват 1 seed; набл. OUT/IN 0.19."
100000004019124100,consolidator,0.933678,6,0.337312,"Признаки консолидации: 3 плательщиков, IN 193k KZT, охват 12 seed; набл. OUT/IN 0.00."
100000004021459100,peripheral,0.877891,77,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000004041163100,peripheral,0.000601,21,0.379222,Периферия: 1 входящих и 2 исходящих связей; структурная значимость ниже порогов других ролей.
100000004174835100,peripheral,0.877891,78,0.005218,Периферия: 0 входящих и 0 исходящих связей; структурная значимость ниже порогов других ролей.
100000004193835100,peripheral,0.147331,6,0.283979,Периферия: 1 входящих и 1 исходящих связей; структурная значимость ниже порогов других ролей.
100000004269433100,peripheral,0.792507,16,0.140473,Периферия: 0 входящих и 1 исходящих связей; структурная значимость ниже порогов других ролей.
100000004358004100,distributor,0.695162,3,0.232876,"Признаки распределения: 11 получателей, OUT 981k KZT, охват 1 seed; fan-out высокий."
100000004388983100,peripheral,0.396182,66,0.154391,Периферия: 0 входящих и 2 исходящих связей; структурная значимость ниже порогов других ролей.
